Original,Translated,Match,id,idCN
录音带,カセットテープ,True,84700567,淘金乐园/收购/录音带
橄榄油,オリーブ・オイル,True,84700575,修格里城/收购/橄榄油
铅矿石,方鉛鉱,True,84700585,淘金乐园/收购/铅矿石
日化用品,洗剤セット,True,84700603,修格里城/收购/日化用品
铁矿石,鉄鉱石,True,84700607,修格里城/收购/铁矿石
水晶工艺品,水晶彫刻,True,84700634,修格里城/收购/水晶工艺品
扬声器,スピーカー,True,84700658,淘金乐园/收购/扬声器
荒原站,荒地駅,True,84700675,荒原站/出售/绿松石
随身听,携帯音楽プレーヤー,True,84701200,修格里城/收购/随身听
银矿石,自然銀,True,84700801,淘金乐园/收购/银矿石
青金石,青金石,True,84700818,修格里城/收购/青金石
砂石,骨材,True,84700835,淘金乐园/收购/砂石
子弹,銃弾,True,84700961,修格里城/收购/子弹
防弹背心,防弾ベスト,True,84700981,淘金乐园/收购/防弹背心
炮弹,砲弾,True,84700982,淘金乐园/收购/炮弹
精钢,ステンレス鋼,True,84700983,淘金乐园/收购/精钢
塑胶炸药,プラスチック爆薬,True,84700984,淘金乐园/收购/塑胶炸药
汽油,ガソリン,True,84700986,淘金乐园/收购/汽油
铁盟哨站,鉄路同盟前哨基地,True,84700994,铁盟哨站/出售/弹丸加速装置
火箭拼装玩具,ロケットのおもちゃ,True,84701281,修格里城/收购/火箭拼装玩具
液氧甲烷燃料,液体酸素メタン燃料,True,84701307,修格里城/收购/液氧甲烷燃料
负片炮弹,レゾナンスパワー爆弾,True,84701309,修格里城/收购/负片炮弹
蜂窝防热烧蚀材料,ハニカム構造断熱材料,True,84701401,淘金乐园/收购/蜂窝防热烧蚀材料
钛合金,チタン合金,True,84701402,淘金乐园/收购/钛合金
镍基高温合金,ニッケル高温合金,True,84701403,淘金乐园/收购/镍基高温合金
无刷电机,ブラシナシ電機,True,84701406,淘金乐园/收购/无刷电机
火澄石,火澄石,True,84701407,淘金乐园/收购/火澄石
阿妮塔202军用无人机,アニタ202軍用ドローン,True,84701408,淘金乐园/收购/阿妮塔202军用无人机
抗污染防护服,汚染防止用防護服,True,84701391,淘金乐园/收购/抗污染防护服
碳纤维,炭素繊維,True,84701411,淘金乐园/收购/碳纤维
形态共振瞄准器,モーフィックフィールド照準器,True,84701393,淘金乐园/收购/形态共振瞄准器
高导磁硅钢片,高透磁率ケイ素鋼板,True,84701413,淘金乐园/收购/高导磁硅钢片
黄铜线圈,黄銅線,True,84701414,淘金乐园/收购/黄铜线圈
阿妮塔战备工厂,アニタ武器研究所,True,84701490,阿妮塔战备工厂/收购/香水
香水,Latona香水,True,84701490,阿妮塔战备工厂/收购/香水
阿妮塔发射中心,アニタロケット,True,84701104,阿妮塔发射中心/收购/金箔酒
金箔酒,金箔酒,True,84701104,阿妮塔发射中心/收购/金箔酒
太阳电池阵,太陽光発電アレイ,True,84701534,阿妮塔发射中心/出售/太阳电池阵
航天半导体,宇宙半導体,True,84701539,阿妮塔发射中心/出售/航天半导体
高导热陶瓷,高熱伝導セラミックス,True,84701634,淘金乐园/收购/高导热陶瓷
无纺布,不織布,True,84701974,淘金乐园/收购/无纺布
肥皂,ワード山泉,True,84701996,淘金乐园/收购/肥皂
